# provenance: auROC_PR.VAL.txt joined to Oberstaller et al. 2021 mmc1.xlsx Supplementary Table 1 (PMC8187163); 152 of 167 genes matched
gene,genome_evidence_score,transcriptome_evidence_score,functional_score,total_combined_score,valid_auc,valid_aupr,test_auc,test_aupr
PF3D7_1450700,2,0,0,2,0.633116883116883,0.628300819362167,0.654067796610169,0.830591833992375
PF3D7_1129100,1,1,0,2,0.665564249415181,0.591577566507248,0.633502824858757,0.776472758037225
PF3D7_1229100,2,0,2,4,0.648826328950552,0.604911454471141,0.552429378531074,0.745484388132404
PF3D7_0801700,4,0,1,5,0.630878438331855,0.589863944502842,0.650395480225989,0.80096326073031
PF3D7_1251200,2,1,1,4,0.636141808502057,0.579782660993795,0.563954802259887,0.744344460570876
PF3D7_0616200,2,1,0,3,0.628599661208357,0.566449633503135,0.686723163841808,0.80262714867978
PF3D7_1115700,1,0,0,1,0.602242478018875,0.592342052498487,0.565480225988701,0.76642176729499
PF3D7_1434000,0,0,1,1,0.62273130596112,0.568494124922696,0.553841807909604,0.738678103793828
PF3D7_1442400,2,0,1,3,0.595063321771396,0.582151417686454,0.69316384180791,0.813316228720123
PF3D7_1448400,1,0,0,1,0.61379769299024,0.554661803568351,0.576158192090395,0.751098441427853
PF3D7_0709400,4,0,0,4,0.607102524804388,0.558971202524421,0.609152542372881,0.76894820625397
PF3D7_0823300,2,0,1,3,0.600246027264661,0.556303625607879,0.591920903954802,0.761629042965247
PF3D7_1122500,2,1,1,4,0.592986206340244,0.562634358531992,0.628135593220339,0.773987211870506
PF3D7_0709000,10,0,3,13,0.559691860934097,0.59521825845728,0.526892655367232,0.750114492763043
PF3D7_0709700,4,1,3,8,0.60167782528031,0.546241351039606,0.609435028248588,0.76873402693419
PF3D7_1408100,3,1,0,4,0.601758489957248,0.545924310887814,0.589887005649717,0.756087565475757
PF3D7_1408000,3,1,1,5,0.600891344680165,0.546479623409466,0.574915254237288,0.750503492273002
PF3D7_1242600,1,1,0,2,0.600306525772364,0.546634611933119,0.549774011299435,0.74952750194353
