gene_id,in_plasmodb_query,chromosomal,in_kucharski_review,in_analysed_panel,sequence_shipped,membership_reason,gene_symbol,product_description
PF3D7_1359900,True,True,False,False,False,excluded: reason not documented in Methods,,quinoxaline resistance protein QRP1
PF3D7_1362500,True,True,False,True,True,retained from PlasmoDB query,EXO,"3'-5' exonuclease, putative"
PF3D7_1368200,True,True,False,False,False,excluded: reason not documented in Methods,,"ABC transporter E family member 1, putative"
PF3D7_1401500,True,True,False,True,True,retained from PlasmoDB query,nan,"esterase, putative"
PF3D7_1406900,True,True,False,True,True,retained from PlasmoDB query,RlmN,"radical SAM protein, putative"
PF3D7_1408000,True,True,False,True,True,retained from PlasmoDB query,PMII,plasmepsin II
PF3D7_1408100,True,True,False,True,True,retained from PlasmoDB query,PMIII,plasmepsin III
PF3D7_1409300,True,True,False,True,True,retained from PlasmoDB query,DDI1,DNA damage-inducible protein 1
PF3D7_1412800,True,True,False,True,True,retained from PlasmoDB query,NMT,glycylpeptide N-tetradecanoyltransferase
PF3D7_1413500,True,True,False,True,True,retained from PlasmoDB query,SufC,iron-sulfur cluster assembly protein SufC
PF3D7_1427500,True,True,False,True,True,retained from PlasmoDB query,MSH2-1,"DNA mismatch repair protein MSH2, putative"
PF3D7_1431400,True,True,False,False,False,excluded: reason not documented in Methods,,surface-related antigen SRA
PF3D7_1434000,True,True,False,True,True,retained from PlasmoDB query,CAF16,"CCR4-associated factor 16, putative"
PF3D7_1435500,True,True,False,True,True,retained from PlasmoDB query,CLC,"clathrin light chain, putative"
PF3D7_1436600,True,True,False,True,True,retained from PlasmoDB query,PKG,cGMP-dependent protein kinase
PF3D7_1438900,True,True,False,True,True,retained from PlasmoDB query,Trx-Px1,thioredoxin peroxidase 1
PF3D7_1442400,True,True,False,True,True,retained from PlasmoDB query,KIC9,protein KIC9
PF3D7_1442900,True,True,False,True,True,retained from PlasmoDB query,ARFGEF,"Sec7 domain-containing protein ARFGEF, putative"
PF3D7_1447900,True,True,True,True,True,retained from PlasmoDB query,MDR2,multidrug resistance protein 2
PF3D7_1448400,False,True,True,True,True,added: literature ART-R gene (Kucharski review),HRD3,
PF3D7_1448600,True,True,False,True,True,retained from PlasmoDB query,VTI1,"SNARE protein, putative"
PF3D7_1450700,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1450800,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1451000,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1451200,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1452700,True,True,False,True,True,retained from PlasmoDB query,nan,"U1 snRNP-associated protein, putative"
PF3D7_1455200,True,True,False,True,True,retained from PlasmoDB query,nan,methyltransferase AAMT
PF3D7_1457200,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),TRX1,
PF3D7_1460500,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1460900,False,True,True,True,True,added: literature ART-R gene (Kucharski review),ARPS10,
PF3D7_1462800,True,True,False,True,True,retained from PlasmoDB query,GAPDH,glyceraldehyde-3-phosphate dehydrogenase
PF3D7_1467400,True,True,False,True,True,retained from PlasmoDB query,RPL22,"50S ribosomal protein L22, apicoplast, putative"
PF3D7_1468600,True,True,False,True,True,retained from PlasmoDB query,nan,"aminophospholipid transporter, putative"
PF3D7_1468900,True,True,False,True,True,retained from PlasmoDB query,nan,"zinc finger protein, putative"
PF3D7_1470800,True,True,False,True,True,retained from PlasmoDB query,nan,"conserved Plasmodium protein, unknown function"
PF3D7_1476100,True,True,False,True,True,retained from PlasmoDB query,ETRAMP14.2,early transcribed membrane protein 14.2
PF3D7_1476700,True,True,False,True,True,retained from PlasmoDB query,LPL1,lysophospholipase LPL1
PF3D7_1476800,True,True,False,False,False,excluded: reason not documented in Methods,,lysophospholipase LPL3
PF3D7_API01300,True,False,False,False,False,excluded: not on chromosomes 1-14,,"50S ribosomal protein L4, putative"
PF3D7_MIT02300,True,False,False,False,False,excluded: not on chromosomes 1-14,,cytochrome b
