Gene ID	source_id	Gene Name or Symbol	Transcript Product Description	Product Description
PF3D7_1008600	PF3D7_1008600.1	N/A	"zinc finger (CCCH type) protein, putative"	"zinc finger (CCCH type) protein, putative"
PF3D7_1036300	PF3D7_1036300.1	DBLMSP2	duffy binding-like merozoite surface protein 2	duffy binding-like merozoite surface protein 2
PF3D7_1107400	PF3D7_1107400.1	RAD51	DNA repair protein RAD51	DNA repair protein RAD51
PF3D7_1113700	PF3D7_1113700.1	GLO1	glyoxalase I	glyoxalase I
PF3D7_1119600	PF3D7_1119600.1	N/A	"ATP-dependent zinc metalloprotease FTSH, putative"	"ATP-dependent zinc metalloprotease FTSH, putative"
PF3D7_1121700	PF3D7_1121700.1	GCN20	protein GCN20	protein GCN20
PF3D7_1132400	PF3D7_1132400.1	N/A	"transporter, putative"	"transporter, putative"
PF3D7_1136600	PF3D7_1136600.1	MRST	modulator of ring stage translation MRST	modulator of ring stage translation MRST
PF3D7_1138800	PF3D7_1138800.1	N/A	"WD repeat-containing protein, putative"	"WD repeat-containing protein, putative"
PF3D7_1147000	PF3D7_1147000.1	SLARP	sporozoite and liver stage asparagine-rich protein	sporozoite and liver stage asparagine-rich protein
PF3D7_1209900	PF3D7_1209900.1	ABCB7	"ABC transporter B family member 7, putative"	"ABC transporter B family member 7, putative"
PF3D7_1218300	PF3D7_1218300.1	AP2-MU	AP-2 complex subunit mu	AP-2 complex subunit mu
PF3D7_1227700	PF3D7_1227700.1	KIC2	protein KIC2	protein KIC2
PF3D7_1235400	PF3D7_1235400.1	N/A	"tetQ family GTPase, putative"	"tetQ family GTPase, putative"
PF3D7_1235700	PF3D7_1235700.1	N/A	"ATP synthase subunit beta, mitochondrial"	"ATP synthase subunit beta, mitochondrial"
PF3D7_1238800	PF3D7_1238800.1	ACS11	acyl-CoA synthetase	acyl-CoA synthetase
PF3D7_1252600	PF3D7_1252600.1	N/A	"esterase, putative"	"esterase, putative"
PF3D7_1302700	PF3D7_1302700.1	N/A	"ATP-dependent RNA helicase DHR1, putative"	"ATP-dependent RNA helicase DHR1, putative"
PF3D7_1311300	PF3D7_1311300.1	N/A	"ATP synthase subunit gamma, mitochondrial"	"ATP synthase subunit gamma, mitochondrial"
PF3D7_1318100	PF3D7_1318100.1	FD	ferredoxin	ferredoxin
PF3D7_1318300	PF3D7_1318300.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1339900	PF3D7_1339900.1	ABCB5	"ABC transporter B family member 5, putative"	"ABC transporter B family member 5, putative"
PF3D7_1343400	PF3D7_1343400.1	RAD5	"DNA repair protein RAD5, putative"	"DNA repair protein RAD5, putative"
PF3D7_1343600	PF3D7_1343600.1	N/A	"UDP-N-acetylglucosamine pyrophosphorylase, putative"	"UDP-N-acetylglucosamine pyrophosphorylase, putative"
PF3D7_1343700	PF3D7_1343700.1	Kelch13	kelch protein K13	kelch protein K13
PF3D7_1347500	PF3D7_1347500.1	ALBA4	DNA/RNA-binding protein Alba 4	DNA/RNA-binding protein Alba 4
PF3D7_1349500	PF3D7_1349500.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1356600	PF3D7_1356600.1	N/A	"regulator of chromosome condensation, putative"	"regulator of chromosome condensation, putative"
PF3D7_1362500	PF3D7_1362500.1	EXO	"3'-5' exonuclease, putative"	"3'-5' exonuclease, putative"
PF3D7_1406900	PF3D7_1406900.1	RlmN	"radical SAM protein, putative"	"radical SAM protein, putative"
PF3D7_1409300	PF3D7_1409300.1	DDI1	DNA damage-inducible protein 1	DNA damage-inducible protein 1
